name,genre,time,year,country,lang,production bdget,domestic gross,world wide gross,rate,neto income
157,0.0,156.0,2021,66.0,21.0,165000000.0,108327830.0,399098180.0,7.5,234098180.0
158,0.0,119.0,2016,66.0,21.0,165000000.0,103144290.0,384169400.0,3.0,219169400.0
159,0.0,118.0,2011,66.0,4.0,163000000.0,100368560.0,176038320.0,4.3,13038320.0
160,9.0,123.0,2017,66.0,21.0,160000000.0,504014180.0,1273109200.0,7.9,1113109200.0
161,0.0,129.0,2019,66.0,21.0,160000000.0,390532100.0,1132532900.0,7.6,972532900.0
162,0.0,143.0,2018,66.0,21.0,160000000.0,335061800.0,1143758700.0,7.3,983758700.0
163,1.0,92.0,2007,66.0,21.0,160000000.0,322719940.0,807330940.0,5.2,647330940.0
164,11.0,147.0,2010,65.0,21.0,160000000.0,292576200.0,728582460.0,9.1,568582460.0
165,11.0,136.0,2015,66.0,21.0,160000000.0,281723900.0,648986800.0,8.4,488986800.0
166,0.0,130.0,2013,66.0,21.0,160000000.0,238679860.0,789300400.0,8.4,629300400.0
167,0.0,123.0,2014,66.0,21.0,160000000.0,200676060.0,529076060.0,2.8,369076060.0
168,0.0,132.0,2011,65.0,21.0,160000000.0,146408300.0,355408320.0,8.0,195408320.0
169,6.0,167.0,2008,66.0,21.0,160000000.0,127509330.0,329631970.0,8.0,169631970.0
170,1.0,108.0,2010,66.0,21.0,160000000.0,63150990.0,217986320.0,7.6,57986320.0
171,1.0,110.0,2006,66.0,21.0,160000000.0,60674816.0,181674820.0,4.3,21674820.0
172,0.0,123.0,2016,66.0,21.0,160000000.0,47365290.0,438899840.0,7.6,278899840.0
173,6.0,210.0,2019,66.0,21.0,159000000.0,47365290.0,910234.0,8.6,-158089766.0
174,11.0,107.0,2016,66.0,21.0,156000000.0,61433530.0,122603820.0,8.2,-33396180.0
175,1.0,115.0,2010,65.0,21.0,155000000.0,104386950.0,418186940.0,9.1,263186940.0
176,0.0,113.0,2021,66.0,21.0,155000000.0,100916100.0,468064640.0,7.3,313064640.0
177,0.0,126.0,2015,66.0,21.0,155000000.0,89760960.0,432150880.0,5.2,277150880.0
178,0.0,111.0,2018,66.0,21.0,155000000.0,59874524.0,290930140.0,3.8,135930140.0
179,0.0,175.0,2004,22.0,21.0,155000000.0,34297190.0,167297180.0,3.5,12297180.0
180,0.0,142.0,2017,66.0,21.0,152000000.0,146880160.0,489592260.0,8.4,337592260.0
181,0.0,182.0,2001,66.0,21.0,151500000.0,198539860.0,449239840.0,8.4,297739840.0
182,0.0,142.0,2007,66.0,21.0,151000000.0,319246200.0,708272600.0,6.0,557272600.0
183,1.0,103.0,2019,66.0,21.0,150000000.0,477373570.0,1445182300.0,9.2,1295182300.0
184,0.0,141.0,2017,66.0,21.0,150000000.0,412563400.0,818058240.0,7.8,668058240.0
185,9.0,102.0,2013,66.0,21.0,150000000.0,400953020.0,1265596800.0,6.2,1115596800.0
186,1.0,108.0,2016,66.0,21.0,150000000.0,341268260.0,1004629950.0,9.2,854629950.0
187,1.0,138.0,2007,65.0,21.0,150000000.0,292137250.0,939619840.0,8.1,789619840.0
